collab_id,influencer_name,handle,platform,date,brief,status_collab,followers,price_ex_vat,ig_post,ig_story,boosted,comments,country_code
,Crawford Cullity,ccullity8,twitch,2021-12-07,123,done,187014,239142,TRUE,TRUE,TRUE,Meles meles,DE
,Lyndy Foynes,lfoynes9,instagram,2022-07-30,67,done,779132,257995,TRUE,FALSE,FALSE,Speotyte cuniculata,FI
,Krishnah Farlham,kfarlhama,youtube,2020-12-19,98765,done,783670,44594,FALSE,TRUE,TRUE,Gazella granti,SE
,Sayre Triggel,striggelb,twitch,2023-01-21,77,done,23080,232332,FALSE,TRUE,FALSE,Hystrix indica,SE
,Tomasine Jayme,tjaymec,instagram,2022-01-01,1,done,533101,22106,FALSE,FALSE,FALSE,Cygnus buccinator,FI
,Allan Tween,atween0,instagram,2022-05-19,55,done,814153,147700,FALSE,FALSE,TRUE,Ciconia ciconia,NO
,Raphaela Sweet,rsweet1,youtube,2021-12-10,98765,planning,219604,241442,TRUE,FALSE,TRUE,Manouria emys,DE
,Elwira Perceval,eperceval2,youtube,2021-03-27,67,done,612022,295369,FALSE,FALSE,TRUE,Macropus eugenii,NO
,Virgilio Mace,vmace3,blog,2021-07-24,66,done,514015,80988,TRUE,FALSE,TRUE,Semnopithecus entellus,DE
,Rosabelle Goodfellow,rgoodfellow4,youtube,2022-06-18,55,booked,812903,69367,FALSE,FALSE,TRUE,Macropus rufogriseus,FI
,Bridgette Wardlow,bwardlow5,youtube,2021-08-13,77,done,471882,151631,TRUE,TRUE,FALSE,Sauromalus obesus,DE
,Rollins Lightbourn,rlightbourn6,youtube,2021-02-20,1,done,314673,193308,TRUE,FALSE,FALSE,Dusicyon thous,SE
,Guillemette Coghlan,gcoghlan7,instagram,2022-02-26,2,done,167466,66146,TRUE,TRUE,FALSE,Dasypus septemcincus,DE
,Crawford Cullity,ccullity8,youtube,2022-12-10,123,done,187014,239142,TRUE,TRUE,TRUE,Meles meles,DE
,Lyndy Foynes,lfoynes9,twitch,2022-09-10,67,done,779132,257995,TRUE,FALSE,FALSE,Speotyte cuniculata,FI
,Krishnah Farlham,kfarlhama,instagram,2020-05-14,98765,done,783670,44594,FALSE,TRUE,TRUE,Gazella granti,SE
,Sayre Triggel,striggelb,tiktok,2022-07-01,77,done,23080,232332,FALSE,TRUE,FALSE,Hystrix indica,SE
,Tomasine Jayme,tjaymec,youtube,2022-02-25,1,done,533101,22106,FALSE,FALSE,FALSE,Cygnus buccinator,FI
,Theodoric Bates,tbates5b,instagram,2022-11-24,1,done,545573,29528,FALSE,FALSE,TRUE,Ovis ammon,FI
,Greta Capeling,gcapeling5c,instagram,2023-03-18,45,done,872880,219868,TRUE,TRUE,FALSE,Felis chaus,FI
,Adolphe Liddiatt,aliddiatt5d,instagram,2021-04-17,67,done,455679,264621,FALSE,TRUE,FALSE,Naja nivea,FI
,Gran Olesen,golesen5e,tiktok,2020-03-19,88,done,594913,14835,FALSE,TRUE,FALSE,Vombatus ursinus,FI
,Ethelred Dewsbury,edewsbury5f,other,2021-02-24,98765,done,193780,181126,TRUE,FALSE,FALSE,Cervus canadensis,SE
,Ashleigh Walas,awalas5g,instagram,2022-10-13,3,done,50089,201094,FALSE,FALSE,FALSE,Lepus townsendii,NO
,Alisha Plowell,aplowell5h,youtube,2022-01-03,2,planning,948737,121542,TRUE,FALSE,FALSE,Kobus defassa,SE
,Bank Bellison,bbellison5i,other,2021-06-11,45,done,954949,227238,TRUE,TRUE,TRUE,Alligator mississippiensis,SE
,Waldemar Sperring,wsperring5j,instagram,2021-06-26,44,cancelled,440992,156663,FALSE,FALSE,FALSE,Phasianus colchicus,DE
,Theodoric Bates,tbates5b,instagram,2022-07-07,1,done,545573,29528,FALSE,FALSE,TRUE,Ovis ammon,FI
,Greta Capeling,gcapeling5c,youtube,2023-06-16,45,done,672880,219868,TRUE,TRUE,FALSE,Felis chaus,FI
,Adolphe Liddiatt,aliddiatt5d,tiktok,2021-03-26,67,done,355679,264621,FALSE,TRUE,FALSE,Naja nivea,FI
,Gran Olesen,golesen5e,instagram,2020-10-17,88,done,394913,14835,FALSE,TRUE,FALSE,Vombatus ursinus,FI
,Ethelred Dewsbury,edewsbury5f,twitch,2021-06-19,98765,done,693780,181126,TRUE,FALSE,FALSE,Cervus canadensis,SE
,Ashleigh Walas,awalas5g,youtube,2022-12-17,3,done,20089,201094,FALSE,FALSE,FALSE,Lepus townsendii,NO
,Alisha Plowell,aplowell5h,instagram,2022-02-12,2,planning,548737,121542,TRUE,FALSE,FALSE,Kobus defassa,SE
,Bank Bellison,bbellison5i,youtube,2021-05-21,45,done,94949,227238,TRUE,TRUE,TRUE,Alligator mississippiensis,SE
,Waldemar Sperring,wsperring5j,youtube,2020-06-04,44,cancelled,40992,156663,FALSE,FALSE,FALSE,Phasianus colchicus,DE
,Theodoric Bates,tbates5b,instagram,2022-11-24,1,done,54573,29528,FALSE,FALSE,TRUE,Ovis ammon,FI
,Greta Capeling,gcapeling5c,instagram,2023-05-20,45,done,872880,219868,TRUE,TRUE,FALSE,Felis chaus,FI
,Adolphe Liddiatt,aliddiatt5d,instagram,2021-03-04,67,done,455679,264621,FALSE,TRUE,FALSE,Naja nivea,FI
,Gran Olesen,golesen5e,tiktok,2020-10-17,88,done,594913,14835,FALSE,TRUE,FALSE,Vombatus ursinus,FI
,Ethelred Dewsbury,edewsbury5f,other,2021-06-18,98765,done,193780,181126,TRUE,FALSE,FALSE,Cervus canadensis,SE
,Ashleigh Walas,awalas5g,instagram,2022-12-30,3,done,50089,201094,FALSE,FALSE,FALSE,Lepus townsendii,NO
,Alisha Plowell,aplowell5h,youtube,2022-05-19,2,planning,948737,121542,TRUE,FALSE,FALSE,Kobus defassa,SE
,Bank Bellison,bbellison5i,other,2021-05-29,45,done,954949,227238,TRUE,TRUE,TRUE,Alligator mississippiensis,SE
,Waldemar Sperring,wsperring5j,instagram,2020-10-31,44,cancelled,440992,156663,FALSE,FALSE,FALSE,Phasianus colchicus,DE
,Josee Thomel,jthomel20,other,2021-11-27,88,done,926258,194286,FALSE,FALSE,TRUE,Libellula quadrimaculata,DE
,Juliet Lowrey,jlowrey21,instagram,2022-08-27,1,planning,621748,159526,FALSE,TRUE,FALSE,Laniaurius atrococcineus,DE
,Tammy Ilett,tilett22,twitch,2022-02-03,2345,planning,624546,123382,TRUE,FALSE,FALSE,Odocoilenaus virginianus,SE
,Patric McMechan,pmcmechan23,youtube,2021-10-28,2345,planning,75909,157782,TRUE,TRUE,TRUE,Odocoileus hemionus,FI
,Blondelle Reardon,breardon24,instagram,2022-01-21,88,done,530795,136420,TRUE,FALSE,TRUE,Nesomimus trifasciatus,FI
,Felisha McCray,fmccray25,youtube,2021-10-22,55,done,412429,276296,FALSE,TRUE,TRUE,Bubalus arnee,FI
,Francesca Tregoning,ftregoning26,instagram,2021-05-06,3,done,955967,236807,FALSE,TRUE,FALSE,Prionace glauca,NO
,Simonette Dare,sdare27,youtube,2022-03-26,88,done,746946,165720,FALSE,TRUE,FALSE,Hippotragus equinus,DE
,Evie Jeandin,ejeandin28,instagram,2022-09-23,3,done,889945,267057,TRUE,TRUE,FALSE,Zenaida asiatica,FI
,Patton Carbine,pcarbine29,tiktok,2023-03-04,77,done,86092,217639,TRUE,FALSE,TRUE,Ardea cinerea,FI
,Rasla Loft,rloft2a,instagram,2022-09-23,2,done,113450,149404,FALSE,TRUE,FALSE,Merops nubicus,DE
,Urbain Geffinger,ugeffinger2b,twitch,2020-11-27,77,planning,79483,261932,FALSE,TRUE,FALSE,Dasyurus viverrinus,SE
,Evanne Coneron,econeron2c,twitch,2021-01-01,454,done,999124,12347,FALSE,TRUE,FALSE,Picoides pubescens,SE
,Shelba Bulpitt,sbulpitt2d,tiktok,2020-11-20,3,done,390510,22581,FALSE,TRUE,TRUE,Streptopelia senegalensis,SE
,Nissa Jefferys,njefferys2e,youtube,2022-10-14,98765,done,749892,236887,FALSE,FALSE,TRUE,Acrantophis madagascariensis,DE
,Marti Melvin,mmelvin2f,blog,2021-11-27,456,planning,36194,219875,TRUE,TRUE,TRUE,Choloepus hoffmani,SE
,Hermy Foxwell,hfoxwell2g,instagram,2022-04-15,456,done,585912,52523,FALSE,TRUE,TRUE,Castor fiber,FI
,Moishe Dallmann,mdallmann2h,instagram,2022-12-16,88,done,284052,163145,TRUE,TRUE,TRUE,Alopex lagopus,NO
,Jefferey Agnew,jagnew2i,instagram,2022-05-21,67,done,147983,35260,TRUE,FALSE,TRUE,Lybius torquatus,SE
,Clifford Ambrois,cambrois2j,instagram,2022-04-15,44,done,798243,219986,TRUE,FALSE,TRUE,Ursus arctos,FI
,Wilona Leighfield,wleighfield2k,tiktok,2022-03-25,3,done,195533,178037,FALSE,TRUE,FALSE,Bubalornis niger,NO
,Meade Hubatsch,mhubatsch2l,instagram,2022-06-24,66,done,623720,214058,TRUE,TRUE,TRUE,Felis concolor,SE
,Cary Loudian,cloudian2m,instagram,2022-05-13,88,booked,157753,113938,FALSE,TRUE,TRUE,Tachybaptus ruficollis,DE
,Amaleta Dauber,adauber2n,blog,2021-02-19,98765,done,800871,22822,TRUE,TRUE,FALSE,Mephitis mephitis,FI
,Win Parratt,wparratt2o,youtube,2022-12-16,55,cancelled,488556,280308,FALSE,TRUE,FALSE,Laniarius ferrugineus,DE
,Shara Mair,smair2p,instagram,2022-04-01,456,done,636551,121367,FALSE,TRUE,FALSE,Colobus guerza,NO
,Jenna Prescot,jprescot2q,tiktok,2020-08-21,1,done,595048,222254,FALSE,TRUE,FALSE,Corvus brachyrhynchos,SE
